# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 48, mean observations per image: 0
1 0.0000000309086197 0.0000000309086197 -0.7071067690849304 0.7071067690849304 0.0000012330108348 -0.0000010648224134 14.1040000915527344 1 0000.png

2 0.0692432597279549 0.0843611136078835 -0.7683487534523010 0.6306574344635010 -0.0000002451872092 -0.0000000129327216 14.1040000915527344 1 0001.png

3 0.0161410328000784 0.0105398092418909 0.5466390252113342 -0.8371464610099792 -0.0000004885419003 0.0000004695899065 14.1040010452270508 1 0002.png

4 0.0904872268438339 0.1362703889608383 0.8218428492546082 -0.5457259416580200 0.0000006751592423 0.0000004897938197 14.1039991378784180 1 0003.png

5 0.2135570496320724 0.1937151104211807 -0.6433278322219849 0.7092229127883911 0.0000004807229175 0.0000009590155514 14.1040000915527344 1 0004.png

6 0.2348430007696152 0.1664997190237045 0.5538862943649292 -0.7812404036521912 0.0000015897580852 -0.0000006641462278 14.1039991378784180 1 0005.png

7 0.0480825863778591 0.1034220978617668 -0.9008734822273254 0.4188304245471954 -0.0000000748360094 -0.0000000270148934 14.1040010452270508 1 0006.png

8 0.1959133893251419 0.0930452570319176 -0.4187937974929810 0.8818005919456482 0.0000001098056686 0.0000014978456875 14.1040000915527344 1 0007.png

9 0.2426514327526093 0.3158983588218689 0.7274124622344971 -0.5587482452392578 0.0000010024039057 -0.0000006854233447 14.1040010452270508 1 0008.png

10 0.2485444247722626 0.3388074040412903 -0.7316704988479614 0.5367434620857239 -0.0000000165698282 0.0000006720878218 14.1040000915527344 1 0009.png

11 0.2503684759140015 0.0964884459972382 0.3464188277721405 -0.8988879919052124 0.0000012452297824 0.0000004930089403 14.1040010452270508 1 0010.png

12 0.0683191940188408 0.2096386998891830 0.9273853898048401 -0.3022258281707764 0.0000005503418947 0.0000003279231180 14.1040010452270508 1 0011.png

13 0.4047200679779053 0.2532425820827484 -0.4660838842391968 0.7448729276657104 -0.0000011105702242 0.0000013299245438 14.1040000915527344 1 0012.png

14 0.4029108881950378 0.3316911756992340 0.5421566963195801 -0.6585666537284851 0.0000009785434258 0.0000009576476714 14.1040010452270508 1 0013.png

15 0.1568066626787186 0.4132085740566254 -0.8386760354042053 0.3182653486728668 -0.0000005992483807 0.0000002905562724 14.1040019989013672 1 0014.png

16 0.1562189161777496 0.0309284627437592 -0.1917336583137512 0.9684406518936157 -0.0000013552871678 0.0000004123226915 14.1040000915527344 1 0015.png

