vertex_id,x,y,z,nx,ny,nz
0,1.2580584287643433,1.0795029401779175,-4.013608455657959,-0.6638725996017456,-0.7478428483009338,-0.0020497655496001244
1,1.2540264129638672,1.0810190439224243,-3.8219804763793945,-0.7057489156723022,-0.7066486477851868,-0.050658032298088074
2,1.2491353750228882,1.0801620483398438,-3.6302084922790527,-0.7697709798812866,-0.6372617483139038,-0.036746177822351456
3,1.2441633939743042,1.0788559913635254,-3.4383482933044434,-0.77680903673172,-0.6295332908630371,-0.01598619669675827
4,1.2392534017562866,1.0774530172348022,-3.246436595916748,-0.7812913060188293,-0.6224982738494873,-0.04560534283518791
5,1.2310154438018799,1.0735830068588257,-3.0545554161071777,-0.7845886945724487,-0.6188266277313232,-0.0383952371776104
6,1.2241313457489014,1.0699740648269653,-2.8624916076660156,-0.7422351241111755,-0.6696544289588928,-0.025494933128356934
7,1.214362382888794,1.0623120069503784,-2.6705589294433594,-0.6706606149673462,-0.7412773966789246,-0.026872698217630386
8,1.2044004201889038,1.0515379905700684,-2.4786176681518555,-0.565273106098175,-0.821159839630127,-0.07850354164838791
9,1.193082332611084,1.0393491983413696,-2.2868518829345703,-0.43353185057640076,-0.9008952379226685,-0.020928911864757538
10,1.1885054111480713,1.0220171213150024,-2.0951528549194336,-0.3920392394065857,-0.9184157848358154,-0.05308305099606514
11,1.190717339515686,1.0114871263504028,-1.9033098220825195,-0.42414867877960205,-0.8965145349502563,-0.1279047578573227
12,1.1861714124679565,0.9888402223587036,-1.7127408981323242,-0.4644903540611267,-0.8770498037338257,-0.12260635942220688
13,1.1791033744812012,0.9584181308746338,-1.5312013626098633,-0.4188748896121979,-0.8910120725631714,-0.1750471293926239
14,1.1715494394302368,0.9251301288604736,-1.3503303527832031,-0.4259386360645294,-0.8797285556793213,-0.21131476759910583
15,1.1558973789215088,0.8824421763420105,-1.1716136932373047,-0.16542577743530273,-0.9761189222335815,-0.14080536365509033
16,1.1424254179000854,0.8394312262535095,-0.9925355911254883,0.41131076216697693,-0.9114375114440918,0.010262144729495049
17,1.1609834432601929,0.8093722462654114,-0.8083734512329102,0.6517568230628967,-0.689943790435791,-0.3149455487728119
18,1.218794345855713,0.7419052124023438,-0.643061637878418,0.9897307753562927,-0.031096577644348145,0.13952061533927917
19,1.196406364440918,0.7183922529220581,-0.45825672149658203,0.8536943197250366,0.4353175461292267,0.28584033250808716
20,1.156732439994812,0.69146728515625,-0.27570152282714844,0.7152458429336548,0.609978199005127,0.34110116958618164
21,1.1034294366836548,0.6576082706451416,-0.09565162658691406,0.5427106022834778,0.7493776679039001,0.37933942675590515
22,1.0425293445587158,0.6150493025779724,0.0808868408203125,0.4814452528953552,0.805450439453125,0.3456299901008606
23,0.9900563955307007,0.5765733122825623,0.26151371002197266,0.46838614344596863,0.8401159048080444,0.2735319435596466
24,0.9501323699951172,0.5518203377723694,0.44883060455322266,0.5185415148735046,0.8521208167076111,0.0707460418343544
25,0.9594143629074097,0.5515353679656982,0.6246728897094727,0.5910077691078186,0.7992866635322571,-0.10886084288358688
26,0.9800564050674438,0.5638003349304199,0.7963113784790039,0.6256901621818542,0.7595144510269165,-0.17790330946445465
27,1.012054443359375,0.586871325969696,0.9629716873168945,0.6414448022842407,0.7177079319953918,-0.2710053026676178
28,1.0538413524627686,0.6159343719482422,1.1440954208374023,0.6022936701774597,0.767987847328186,-0.2178005576133728
29,1.1075503826141357,0.6528993844985962,1.3186883926391602,0.38269665837287903,0.8688018918037415,-0.3142077624797821
30,1.1717064380645752,0.6932594180107117,1.489715576171875,0.3018711507320404,0.9115806221961975,-0.2790960967540741
