# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 48, mean observations per image: 0
1 0.0000000309086197 0.0000000309086197 -0.7071067690849304 0.7071067690849304 0.0000012083976344 -0.0000010435666127 13.8224582672119141 1 0000.png

2 0.0692432671785355 0.0843611061573029 -0.7683487534523010 0.6306574344635010 -0.0000004790312005 -0.0000000129327136 13.8224592208862305 1 0001.png

3 0.0161410328000784 0.0105398092418909 0.5466390252113342 -0.8371464610099792 -0.0000004279813481 0.0000004701643377 13.8224592208862305 1 0002.png

4 0.0904872342944145 0.1362704038619995 0.8218428492546082 -0.5457259416580200 0.0000000318683853 0.0000009795876394 13.8224582672119141 1 0003.png

5 0.2135570496320724 0.1937151104211807 -0.6433278322219849 0.7092229127883911 0.0000004871213832 0.0000010584045640 13.8224582672119141 1 0004.png

6 0.2348430007696152 0.1664997190237045 0.5538862943649292 -0.7812404036521912 0.0000015897580852 -0.0000006641462278 13.8224582672119141 1 0005.png

7 0.0480825826525688 0.1034220978617668 -0.9008734822273254 0.4188304245471954 -0.0000000748360094 -0.0000000270148952 13.8224582672119141 1 0006.png

8 0.1959133595228195 0.0930452719330788 -0.4187938272953033 0.8818005919456482 0.0000001186987220 0.0000009649111234 13.8224592208862305 1 0007.png

9 0.2426514327526093 0.3158983588218689 0.7274124622344971 -0.5587482452392578 0.0000004997240239 -0.0000005112016765 13.8224582672119141 1 0008.png

10 0.2485443502664566 0.3388072848320007 -0.7316706180572510 0.5367434024810791 -0.0000024974281132 -0.0000012451336033 13.8224601745605469 1 0009.png

11 0.2503684759140015 0.0964885279536247 0.3464187979698181 -0.8988879919052124 -0.0000014594259028 0.0000004465993868 13.8224582672119141 1 0010.png

12 0.0683191865682602 0.2096386998891830 0.9273853898048401 -0.3022258281707764 0.0000005421521792 0.0000008609468978 13.8224592208862305 1 0011.png

13 0.4047200977802277 0.2532425224781036 -0.4660838246345520 0.7448729276657104 -0.0000020816953565 0.0000017299885258 13.8224601745605469 1 0012.png

14 0.4029109179973602 0.3316912651062012 0.5421565771102905 -0.6585665941238403 -0.0000019343819986 -0.0000006368239269 13.8224582672119141 1 0013.png

15 0.1568066477775574 0.4132085740566254 -0.8386760354042053 0.3182653486728668 -0.0000002828998902 0.0000002905562724 13.8224582672119141 1 0014.png

16 0.1562189161777496 0.0309284646064043 -0.1917336732149124 0.9684406518936157 -0.0000013552873952 0.0000004123226347 13.8224592208862305 1 0015.png

17 0.2410207688808441 0.4902877509593964 0.7516586184501648 -0.3695081174373627 -0.0000003220479243 -0.0000000960955191 13.8224592208862305 1 0016.png

18 0.4166747033596039 0.4335610568523407 -0.5760883092880249 0.5536509156227112 -0.0000009541691952 0.0000015597578340 13.8224573135375977 1 0017.png

19 0.5347151756286621 0.2308509349822998 0.3222008049488068 -0.7463070154190063 -0.0000015236814761 -0.0000005963413514 13.8224592208862305 1 0018.png

20 0.0114673590287566 0.1154087632894516 -0.9883847236633301 0.0982088446617126 -0.0000002317870269 0.0000001908080378 13.8224573135375977 1 0019.png

21 0.5823748707771301 0.2154528498649597 -0.2719739377498627 0.7351528406143188 -0.0000000775862148 0.0000009556476925 13.8224582672119141 1 0020.png

22 0.4399744272232056 0.5027496218681335 0.5599446296691895 -0.4900278747081757 0.0000004795023187 -0.0000013133234233 13.8224592208862305 1 0021.png

23 0.3148914575576782 0.6016657948493958 -0.6503705382347107 0.3403818309307098 0.0000001529332962 0.0000004707659116 13.8224592208862305 1 0022.png

24 0.6679729223251343 0.0745480060577393 0.0821259915828705 -0.7358737587928772 0.0000003958445234 -0.0000000373907838 13.8224573135375977 1 0023.png

25 0.1858883649110794 0.6977306008338928 0.6685037612915039 -0.1781018525362015 0.0000006050452157 0.0000004547345043 13.8224592208862305 1 0024.png

26 0.5896223783493042 0.4310894012451172 -0.4031181931495667 0.5513647794723511 -0.0000028167385153 0.0000005356552037 13.8224582672119141 1 0025.png

27 0.6290675401687622 0.4034821689128876 0.3587212860584259 -0.5592810511589050 -0.0000001316239917 0.0000004735595951 13.8224592208862305 1 0026.png

28 0.1730117052793503 0.8073377013206482 -0.5516322851181030 0.1182142421603203 -0.0000009124638041 0.0000001842643655 13.8224582672119141 1 0027.png

29 0.8491504192352295 0.1692628264427185 -0.0978004336357117 0.4906411468982697 -0.0000003113543130 -0.0000004131146625 13.8224582672119141 1 0028.png

30 0.4157570898532867 0.6770200729370117 0.5174925327301025 -0.3177913725376129 0.0000013461725530 0.0000023006289211 13.8224582672119141 1 0029.png

31 0.4925598502159119 0.6324777007102966 -0.4716406762599945 0.3673035204410553 -0.0000012277554333 0.0000014050715436 13.8224592208862305 1 0030.png

32 0.8287124633789062 0.2784269154071808 0.1546236872673035 -0.4602234959602356 0.0000020104498617 0.0000010081704431 13.8224573135375977 1 0031.png

33 0.1972133666276932 0.9588232040405273 0.2001745104789734 -0.0411724448204041 0.0000004485804084 0.0000001907841920 13.8224573135375977 1 0032.png

34 0.7617862820625305 0.4045492708683014 -0.2373173832893372 0.4468802809715271 -0.0000004978326729 0.0000006488917279 13.8224582672119141 1 0033.png

35 0.6234965324401855 0.5790235400199890 0.3574900031089783 -0.3849475979804993 0.0000000000541540 -0.0000007996800377 13.8224601745605469 1 0034.png

36 0.3837475478649139 0.8192885518074036 -0.3858084678649902 0.1807092428207397 -0.0000002353112905 -0.0000003037414729 13.8224582672119141 1 0035.png

37 0.9609266519546509 0.2767759859561920 0.0010747214546427 -0.0037312794011086 -0.0000000032106158 0.0000014305840068 13.8224582672119141 1 0036.png

38 0.4117588102817535 0.8316426873207092 0.3339066505432129 -0.1653222441673279 0.0000005613048870 -0.0000016928220248 13.8224582672119141 1 0037.png

39 0.6588258743286133 0.6125977039337158 -0.2973427176475525 0.3197809755802155 0.0000004767285304 -0.0000008469930890 13.8224582672119141 1 0038.png

40 0.7955045104026794 0.4872274398803711 0.1881590038537979 -0.3072103261947632 -0.0000004395639621 0.0000006735624538 13.8224592208862305 1 0039.png

41 0.3853828608989716 0.9183906316757202 -0.0826745703816414 0.0346926003694534 -0.0000000225101662 0.0000004904611046 13.8224582672119141 1 0040.png

42 0.8627158403396606 0.4549161791801453 -0.1030095890164375 0.1953503042459488 -0.0000001967364938 -0.0000000000000045 13.8224573135375977 1 0041.png

43 0.6133646368980408 0.7230046391487122 0.2424024045467377 -0.2056433111429214 -0.0000004897551094 -0.0000002388326550 13.8224601745605469 1 0042.png

44 0.5883573889732361 0.7634730935096741 -0.2109755426645279 0.1625846326351166 0.0000000307668984 0.0000015947957763 13.8224573135375977 1 0043.png

45 0.8499861955642700 0.5179736018180847 0.0499859638512135 -0.0820261538028717 0.0000002474094174 -0.0000014725007986 13.8224592208862305 1 0044.png

46 0.5576086044311523 0.8260105252265930 0.0682424157857895 -0.0460678786039352 0.0000000143945593 -0.0000024105513603 13.8224582672119141 1 0045.png

47 0.7429164648056030 0.6561232209205627 -0.0877635478973389 0.0993730723857880 -0.0000000013254234 -0.0000008677905043 13.8224592208862305 1 0046.png

48 0.7071067690849304 0.7071067690849304 0.0000000000000000 0.0000000000000000 0.0000000000000000 -0.0000010435666127 13.8224582672119141 1 0047.png

