vertex_id,x,y,z,nx,ny,nz
0,2.0520479679107666,1.2917933464050293,-4.038691520690918,0.20184795558452606,0.9784364700317383,0.043811388313770294
1,2.036897897720337,1.2751283645629883,-3.8486342430114746,0.23205727338790894,0.9678564667701721,0.09697079658508301
2,2.0215837955474854,1.258568286895752,-3.657942295074463,0.3109591603279114,0.9466410875320435,0.08470649272203445
3,2.006363868713379,1.2413833141326904,-3.467100143432617,0.30491724610328674,0.9429757595062256,0.13349933922290802
4,1.9910999536514282,1.2237215042114258,-3.2758164405822754,0.29239779710769653,0.9505046606063843,0.10509255528450012
5,1.9747799634933472,1.2048743963241577,-3.084275245666504,0.34720516204833984,0.9323148727416992,0.10118062049150467
6,1.9566209316253662,1.1850124597549438,-2.89263916015625,0.36804941296577454,0.9184595346450806,0.14481595158576965
7,1.9372658729553223,1.1641764640808105,-2.7009663581848145,0.4087090790271759,0.906623125076294,0.10483985394239426
8,1.9149729013442993,1.1420223712921143,-2.5094542503356934,0.4932796359062195,0.8530611395835876,0.1701819747686386
9,1.890246868133545,1.1171793937683105,-2.3183107376098633,0.543980598449707,0.8236662745475769,0.16018478572368622
10,1.8609338998794556,1.090341567993164,-2.1278982162475586,0.6220617294311523,0.7607590556144714,0.18516163527965546
11,1.8235639333724976,1.0590145587921143,-1.9396743774414062,0.7119199633598328,0.6519362330436707,0.26105397939682007
12,1.776262879371643,1.0196354389190674,-1.7559423446655273,0.746588945388794,0.5830380320549011,0.32042422890663147
13,1.7244088649749756,0.9758455157279968,-1.5846567153930664,0.8085765838623047,0.5148326754570007,0.28487059473991394
14,1.704962968826294,0.9492335319519043,-1.4053621292114258,0.8473191261291504,0.5308881402015686,0.014423779211938381
15,1.7256779670715332,0.945978581905365,-1.2264270782470703,0.8214138746261597,0.5694888234138489,-0.03101237863302231
16,1.7340809106826782,0.9301895499229431,-1.0468578338623047,0.799409031867981,0.5900458097457886,0.1130981370806694
17,1.7190189361572266,0.8977155685424805,-0.872314453125,0.7705179452896118,0.5783136487007141,0.2680583596229553
18,1.6788148880004883,0.8436855673789978,-0.7090644836425781,0.6831795573234558,0.5584275722503662,0.47055745124816895
19,1.619101881980896,0.778835654258728,-0.5598287582397461,0.6472838521003723,0.6054791808128357,0.46305355429649353
20,1.5775089263916016,0.7284126281738281,-0.40454673767089844,0.6946624517440796,0.6874801516532898,0.211696058511734
21,1.5770769119262695,0.7224946022033691,-0.2399587631225586,0.679997444152832,0.7281769514083862,-0.08580079674720764
22,1.5967179536819458,0.7522456049919128,-0.07971858978271484,0.6681842803955078,0.7235605716705322,-0.17317605018615723
23,1.5969078540802002,0.7765506505966187,0.09093093872070312,0.6826440691947937,0.729999840259552,-0.03312481939792633
24,1.5724098682403564,0.791590690612793,0.26552486419677734,0.6726523041725159,0.7377960085868835,0.0565330870449543
25,1.5590169429779053,0.7780036926269531,0.4169902801513672,0.7167900800704956,0.6822738647460938,0.14392511546611786
26,1.541123867034912,0.7599387168884277,0.553375244140625,0.7064831256866455,0.6867415308952332,0.17107783257961273
27,1.5231438875198364,0.7577306628227234,0.683445930480957,0.6749664545059204,0.7183218002319336,-0.16862423717975616
28,1.565445899963379,0.8205657005310059,0.819859504699707,0.5615075826644897,0.5785682797431946,-0.591580867767334
29,1.6338169574737549,0.9101086854934692,0.9499225616455078,0.610853910446167,0.5572715997695923,-0.5624108910560608
30,1.6746408939361572,0.9794437289237976,1.1092166900634766,0.734391987323761,0.5737006068229675,-0.36267900466918945
31,1.6896859407424927,1.0266567468643188,1.2926826477050781,0.7903236746788025,0.5585201978683472,-0.2518802881240845
32,1.7327549457550049,1.0808956623077393,1.4646921157836914,0.6486680507659912,0.6067302227020264,-0.45946505665779114
33,1.8136389255523682,1.1683677434921265,1.6167793273925781,0.5213127136230469,0.645668625831604,-0.5579830408096313
34,1.8882708549499512,1.2431927919387817,1.7968406677246094,0.5651935935020447,0.7079935073852539,-0.42344003915786743
35,1.9312019348144531,1.2958787679672241,1.980879783630371,0.6033909320831299,0.72824627161026,-0.3249257504940033
36,1.9780689477920532,1.3326518535614014,2.1789379119873047,0.6308377385139465,0.7394044399261475,-0.2352122813463211
37,2.0376358032226562,1.3425108194351196,2.3800764083862305,0.590305507183075,0.8019868731498718,-0.09141367673873901
38,2.0932679176330566,1.3083678483963013,2.631284713745117,0.40798115730285645,0.8906744718551636,0.20062533020973206
39,2.19052791595459,1.1909488439559937,2.8538713455200195,0.4173508286476135,0.8474434614181519,0.32811254262924194
40,2.3372609615325928,1.0455398559570312,3.032512664794922,0.4374350905418396,0.8009483814239502,0.4088180661201477
41,2.4722158908843994,0.8589688539505005,3.168320655822754,0.6095681190490723,0.6003608703613281,0.5176809430122375
42,2.5559098720550537,0.6190148591995239,3.250027656555176,0.8049086332321167,0.27242815494537354,0.5271669030189514
43,2.5665128231048584,0.3598039150238037,3.287628173828125,0.8308332562446594,0.1130308285355568,0.5449221134185791
44,2.504225015640259,0.37447589635849,3.37955379486084,0.8220106363296509,0.10474076867103577,0.5597570538520813
45,2.436527967453003,0.39305490255355835,3.469280242919922,0.7878709435462952,0.10622266680002213,0.6066104769706726
46,2.3282699584960938,0.4179319143295288,3.599607467651367,0.7271989583969116,0.14709533751010895,0.6704809665679932
47,2.2046408653259277,0.4328359365463257,3.717479705810547,0.6103839874267578,0.20053525269031525,0.7663009762763977
48,2.0607569217681885,0.44956591725349426,3.8086299896240234,0.4781287908554077,0.2162649929523468,0.8512474894523621
49,1.9029439687728882,0.4793119430541992,3.8723907470703125,0.391531378030777,0.2773215174674988,0.8773801326751709
50,1.743255853652954,0.5199469327926636,3.933198928833008,0.4720584452152252,0.24722148478031158,0.8461928367614746
51,1.5955449342727661,0.5733989477157593,4.020391464233398,0.5206557512283325,0.329036146402359,0.7878153324127197
52,1.44953191280365,0.6371159553527832,4.1008100509643555,0.5234785676002502,0.4256592094898224,0.738095223903656
53,1.281822919845581,0.9139089584350586,4.02288818359375,0.3787381947040558,0.6495992541313171,0.6592254042625427
54,1.0551838874816895,1.093342900276184,3.913365364074707,0.2539668381214142,0.802888035774231,0.5393250584602356
55,0.8101649284362793,1.209022879600525,3.8123703002929688,0.14375334978103638,0.9209272265434265,0.3622541129589081
56,0.5508669018745422,1.247365951538086,3.733427047729492,-0.013881449587643147,0.9177976250648499,0.3968057334423065
57,0.2881809175014496,1.2627428770065308,3.6950149536132812,-0.0005116675747558475,0.9286890625953674,0.3708589971065521
58,0.02945091389119625,1.2656699419021606,3.6900711059570312,-0.0018203930230811238,0.9344024062156677,0.35621458292007446
59,0.027739912271499634,1.3271409273147583,3.5263566970825195,-0.003991774283349514,0.9415215253829956,0.3369293510913849
60,0.025504913181066513,1.3860899209976196,3.3518991470336914,-0.005620453041046858,0.9544084668159485,0.2984508275985718
61,0.023123912513256073,1.4401758909225464,3.1653146743774414,-0.008772619999945164,0.9649301171302795,0.26236021518707275
62,0.020622912794351578,1.4888298511505127,2.9704532623291016,-0.00883462093770504,0.9754713177680969,0.21994918584823608
63,0.01723591238260269,1.5292878150939941,2.767650604248047,-0.008538524620234966,0.9855757355690002,0.16901937127113342
64,0.014300912618637085,1.558796763420105,2.5587644577026367,-0.008659805171191692,0.9938938021659851,0.1100003570318222
65,0.011347913183271885,1.5761698484420776,2.3459224700927734,-0.009069208987057209,0.9986100792884827,0.05192066729068756
66,0.00871491339057684,1.5805177688598633,2.131927490234375,-0.0075769247487187386,0.9998335242271423,-0.016603896394371986
67,0.007234913296997547,1.5693508386611938,1.9193830490112305,-0.007637988775968552,0.9955861568450928,-0.09354130923748016
68,0.006095913238823414,1.5402127504348755,1.7114324569702148,-0.009566263295710087,0.982720136642456,-0.1848505437374115
69,0.005798913072794676,1.4933358430862427,1.5108470916748047,-0.01975264772772789,0.9614395499229431,-0.27430614829063416
70,0.005451912991702557,1.4296846389770508,1.3193597793579102,-0.010688163340091705,0.9392247200012207,-0.34313666820526123
71,0.0052689132280647755,1.357595682144165,1.1355390548706055,-0.004846224561333656,0.9321752786636353,-0.3619750142097473
72,0.005635912995785475,1.2900097370147705,0.9550342559814453,0.0038730029482394457,0.947195291519165,-0.32063379883766174
73,0.005919912829995155,1.2369756698608398,0.7756834030151367,0.0055730827152729034,0.96978759765625,-0.24388714134693146
74,0.007250912953168154,1.1994396448135376,0.5997991561889648,0.008397463709115982,0.9789351224899292,-0.20399916172027588
75,0.008607912808656693,1.1647467613220215,0.4304065704345703,0.006075762212276459,0.9795358180999756,-0.20117810368537903
76,0.010863913223147392,1.130286693572998,0.2659893035888672,0.00156326312571764,0.9802972674369812,-0.19752170145511627
77,0.013192912563681602,1.1006776094436646,0.11148548126220703,0.0028778058476746082,0.9881306290626526,-0.15358927845954895
78,0.015038913115859032,1.082991600036621,-0.046649932861328125,0.010153981857001781,0.9992852210998535,-0.036414984613657
79,0.016609912738204002,1.0899426937103271,-0.20818519592285156,0.011693693697452545,0.9914262890815735,0.130143404006958
80,0.01888091303408146,1.1257426738739014,-0.3701171875,0.0058437432162463665,0.9565278887748718,0.2915823757648468
81,0.021204913035035133,1.1872105598449707,-0.5274381637573242,-0.003675234504044056,0.9163610339164734,0.40033605694770813
82,0.024037912487983704,1.2592345476150513,-0.6827182769775391,-0.009639231488108635,0.9068762063980103,0.4212868809700012
83,0.027027912437915802,1.3335425853729248,-0.8395709991455078,-0.002341250889003277,0.8961412906646729,0.44376254081726074
84,0.03067791275680065,1.4145416021347046,-0.9944238662719727,0.00026451292796991765,0.8859739899635315,0.463734894990921
85,0.03274891525506973,1.4583195447921753,-1.0788898468017578,-0.003910422325134277,0.9056553244590759,0.4239967167377472
86,0.03698791563510895,1.5299866199493408,-1.2531843185424805,-0.011179104447364807,0.9548614025115967,0.29684126377105713
87,0.04130891337990761,1.567961573600769,-1.4403486251831055,-0.020588859915733337,0.9932156801223755,0.1144496351480484
88,0.046402912586927414,1.5738835334777832,-1.6343717575073242,-0.008496930822730064,0.9996262788772583,-0.025982152670621872
89,0.05138791352510452,1.5586214065551758,-1.8312692642211914,-0.006563607603311539,0.9942880272865295,-0.10652825981378555
90,0.05653991177678108,1.5316414833068848,-2.028008460998535,-0.012731103226542473,0.9891031980514526,-0.14667201042175293
91,0.06153491139411926,1.5003234148025513,-2.2254457473754883,-0.007296533323824406,0.9871077537536621,-0.15989068150520325
92,0.06644291430711746,1.4688974618911743,-2.422816276550293,-0.01205491740256548,0.9886336326599121,-0.14986096322536469
93,0.07129991054534912,1.4391614198684692,-2.620023250579834,-0.029599357396364212,0.9896062612533569,-0.14072413742542267
94,0.07585791498422623,1.4109795093536377,-2.816925525665283,-0.12350529432296753,0.9854677319526672,-0.11661869287490845
95,0.08060891181230545,1.382340431213379,-3.0130324363708496,-0.16838401556015015,0.9759562611579895,-0.13840597867965698
96,0.08541091531515121,1.3558554649353027,-3.2089900970458984,-0.2561076581478119,0.9618088603019714,-0.09660542756319046
97,0.09043791145086288,1.3363653421401978,-3.405374526977539,-0.34462860226631165,0.9364402294158936,-0.0656573474407196
