vertex_id,x,y,z,nx,ny,nz
0,1.254667043685913,1.0683979988098145,-3.99900484085083,-0.04566030949354172,-0.9987911581993103,0.018206901848316193
1,1.2562450170516968,1.0662190914154053,-3.8074951171875,-0.039951667189598083,-0.9991415143013,-0.01096043549478054
2,1.2579339742660522,1.0636531114578247,-3.6158337593078613,-0.0033094757236540318,-0.9999839663505554,-0.00461044255644083
3,1.258584976196289,1.061569094657898,-3.424281120300293,-0.09778036177158356,-0.9939622282981873,-0.04978135973215103
4,1.2602050304412842,1.0605560541152954,-3.232357978820801,-0.16849255561828613,-0.9856479167938232,-0.010412042029201984
5,1.2628469467163086,1.0587080717086792,-3.04024076461792,-0.2042701244354248,-0.9787136912345886,-0.019833294674754143
6,1.2665050029754639,1.0580331087112427,-2.8482398986816406,-0.32168278098106384,-0.9462498426437378,-0.03363582864403725
7,1.2710440158843994,1.056151032447815,-2.6560277938842773,-0.339796245098114,-0.9403666853904724,0.015777530148625374
8,1.2751469612121582,1.0519680976867676,-2.463703155517578,-0.341841459274292,-0.9387402534484863,-0.04371838644146919
9,1.2786040306091309,1.0444291830062866,-2.2713632583618164,-0.3413476049900055,-0.9397458434104919,-0.018964778631925583
10,1.285328984260559,1.0359071493148804,-2.0799694061279297,-0.37913501262664795,-0.9245221614837646,-0.03892887011170387
11,1.288532018661499,1.022171139717102,-1.8892974853515625,-0.41237786412239075,-0.9005781412124634,-0.137489914894104
12,1.2812509536743164,0.9940922260284424,-1.7005138397216797,-0.42612984776496887,-0.8918336629867554,-0.1518099159002304
13,1.2709770202636719,0.9596232175827026,-1.5209112167358398,-0.2795640528202057,-0.9466213583946228,-0.16047434508800507
14,1.2612069845199585,0.924088180065155,-1.34124755859375,-0.08240585774183273,-0.990118145942688,-0.11346957832574844
15,1.2557400465011597,0.8895581960678101,-1.160660743713379,0.06927333772182465,-0.973922073841095,-0.21604876220226288
16,1.24686598777771,0.8496962785720825,-0.981450080871582,0.41688433289527893,-0.9089562296867371,-0.0024514198303222656
17,1.2650129795074463,0.8181352615356445,-0.7987127304077148,0.6500562429428101,-0.6963217258453369,-0.30424147844314575
18,1.3184549808502197,0.7521722316741943,-0.6326713562011719,0.9878625273704529,-0.0713253766298294,0.13798651099205017
19,1.2934479713439941,0.7281972765922546,-0.44966888427734375,0.8833054304122925,0.3696190416812897,0.2883632481098175
20,1.2535220384597778,0.7008622884750366,-0.26825428009033203,0.7600364089012146,0.549443244934082,0.3470689356327057
21,1.199841022491455,0.6672382950782776,-0.0890645980834961,0.5951976180076599,0.7022309303283691,0.3906552195549011
22,1.1381150484085083,0.6248692870140076,0.08646678924560547,0.5285919308662415,0.7686097025871277,0.3603190779685974
23,1.0851609706878662,0.5866143107414246,0.2663898468017578,0.49257993698120117,0.821577787399292,0.28701069951057434
24,1.0445630550384521,0.5621463656425476,0.453155517578125,0.5199316143989563,0.8505439162254333,0.07903322577476501
25,1.053447961807251,0.562157392501831,0.6285495758056641,0.5828856825828552,0.8053115606307983,-0.10824795812368393
26,1.0739870071411133,0.5749163627624512,0.7997941970825195,0.6152634024620056,0.7674163579940796,-0.18034161627292633
27,1.1061259508132935,0.5985513925552368,0.9660186767578125,0.6169112920761108,0.741032600402832,-0.26512494683265686
28,1.1503729820251465,0.6299793720245361,1.1459894180297852,0.5623595714569092,0.7908527851104736,-0.24146142601966858
29,1.205062985420227,0.667510449886322,1.3202314376831055,0.3814752399921417,0.8687584400177002,-0.3158092796802521
30,1.2685149908065796,0.7074364423751831,1.4915332794189453,0.31656578183174133,0.9027113914489746,-0.29137295484542847
31,1.3359309434890747,0.7475074529647827,1.6614713668823242,0.3565714657306671,0.8346152305603027,-0.4198504686355591
32,1.3931200504302979,0.7763874530792236,1.8376588821411133,0.654678463935852,0.6757943034172058,-0.3386712670326233
33,1.4578620195388794,0.8019314408302307,2.0129470825195312,0.6749562621116638,0.6409813761711121,-0.3654818832874298
34,1.5279669761657715,0.8215134739875793,2.188173294067383,0.6827492117881775,0.6284475326538086,-0.3727027177810669
35,1.606660008430481,0.8429884910583496,2.3401126861572266,0.5043997764587402,0.7059559226036072,-0.4971993863582611
36,1.7198859453201294,0.915538489818573,2.452181816101074,0.09418528527021408,0.8236497640609741,-0.5592229962348938
37,1.8304790258407593,1.0126105546951294,2.564570426940918,-0.10558256506919861,0.9036160111427307,-0.4151269495487213
38,1.9079480171203613,1.064650535583496,2.7612476348876953,0.05940864235162735,0.9965288639068604,-0.058317553251981735
39,2.0115840435028076,1.0204355716705322,2.938767433166504,0.30420538783073425,0.9216415882110596,0.24090637266635895
40,2.1390318870544434,0.9138685464859009,3.0633010864257812,0.4768044948577881,0.7879367470741272,0.3896321654319763
41,2.246188163757324,0.763105571269989,3.1518068313598633,0.6748820543289185,0.5297545194625854,0.5137065052986145
42,2.3046607971191406,0.568897545337677,3.1894922256469727,0.8432607054710388,0.049420759081840515,0.5352279543876648
43,2.266815185546875,0.36274856328964233,3.15712833404541,0.8363254070281982,-0.23155081272125244,0.4969347417354584
44,2.207670211791992,0.36607953906059265,3.2582197189331055,0.8267951607704163,-0.23742912709712982,0.5099384784698486
45,2.1448020935058594,0.3725135624408722,3.3570175170898438,0.7876588106155396,-0.22128067910671234,0.5750029683113098
46,2.0425469875335693,0.38416558504104614,3.4952831268310547,0.7498089075088501,-0.17253942787647247,0.6387618780136108
47,1.9270470142364502,0.3868705928325653,3.62026309967041,0.6552659273147583,-0.1330873966217041,0.7435820698738098
48,1.7915840148925781,0.3945595920085907,3.7228565216064453,0.5035150051116943,-0.13605859875679016,0.853206217288971
49,1.6286050081253052,0.4125005900859833,3.793651580810547,0.32073673605918884,-0.03982522711157799,0.9463308453559875
50,1.4559299945831299,0.4356176257133484,3.843893051147461,0.23867343366146088,-0.060417089611291885,0.9692186713218689
51,1.2759439945220947,0.4583725929260254,3.8808364868164062,0.2374017834663391,-0.08704906702041626,0.9675034880638123
